name,q,group,Mbi_Mb,nprofs,nnuprofs,tend,neutrinos,comment,viscosity,resolution,AHfix,dyn_phase,outcome,disk_phase,diskmaxtime,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll_gw,tcoll,Mdisk,tdisk3D,Mdisk3D,tdisk3Dmax,Mdisk3Dmax,Munb_tot,Munb_bern_tot,tend-geo,t98mass-geo,Mej_tot-geo,Ye_ave-geo,s_ave-geo,vel_inf_ave-geo,E_kin_ave-geo,theta_rms-geo,Mej_tot-bern_geoend,Ye_ave-bern_geoend,s_ave-bern_geoend,vel_inf_ave-bern_geoend,E_kin_ave-bern_geoend,theta_rms-bern_geoend
BLh_M13641364_M0_LK_SR,1,BLh_M13641364_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M13641364_M0_LK_HR,1,BLh_M13641364_M0_LK,,,,,,   ,,,,passed,unclear,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M13641364_M0_LK_LR,1,BLh_M13641364_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M13651365_M0_LR,1,BLh_M13641364_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M13651365_M0_SR,1,BLh_M13641364_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M12591482_M0_LK_LR,1.2,BLh_M12591482_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M12591482_M0_LR,1.2,BLh_M12591482_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11841581_M0_LK_SR,1.3,BLh_M11841581_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11841581_M0_LK_HR,1.3,BLh_M11841581_M0_LK,,,,,,,,,,passed,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11841581_M0_LK_LR,1.3,BLh_M11841581_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11841581_M0_LR,1.3,BLh_M11841581_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11461635_M0_LK_SR,1.4,BLh_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M16351146_M0_LK_LR,1.4,BLh_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11041699_M0_LK_LR,1.5,BLh_M11041699_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M11041699_M0_LR,1.5,Blh_M11041699_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_SR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_LR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10651772_M0_LK_HR,1.7,BLh_M10651772_M0_LK,,,,,,,,,,not passed,unclear,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_HR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_LR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_SR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_LR_AHfix,1.8,BLh_M10201856_M0_LK_AHfix,,,,,,,,,yes,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_HR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_SR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_SR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_HR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_SR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_HR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_LR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_SR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_HR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14321300_M0_LR,1.1,DD2_M14321300_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14351298_M0_LR,1.1,DD2_M14351298_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14861254_M0_LR,1.2,DD2_M14861254_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14861254_M0_HR,1.2,DD2_M14861254_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971246_M0_LR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971245_M0_SR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971245_M0_HR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M15091235_M0_LK_LR,1.2,DD2_M15091235_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M15091235_M0_LK_SR,1.2,DD2_M15091235_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M15091235_M0_LK_HR,1.2,DD2_M15091235_M0_LK,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M11461635_M0_LK_SR,1.4,DD2_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M16351146_M0_LK_LR,1.4,DD2_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LK_SR_AHfix,1,LS220_M13641364_M0_LK_AHfix,,,,,,,,,yes,not passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LK_LR_AHfix,1,LS220_M13641364_M0_LK_AHfix,,,,,,,,,yes,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LK_SR_restart,1,LS220_M13641364_M0_LK,,,,,,,,,,passed,BH,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LK_SR,1,LS220_M13641364_M0_LK,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LK_LR,1,LS220_M13641364_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_LR,1,LS220_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_SR,1,LS220_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M13641364_M0_HR,1,LS220_M13641364_M0,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14001330_M0_HR,1.1,LS220_M14001330_M0,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14001330_M0_SR,1.1,LS220_M14001330_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14351298_M0_HR,1.1,LS220_M14351298_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14351298_M0_SR,1.1,LS220_M14351298_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_LK_HR,1.2,LS220_M14691268_M0_LK,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_LK_SR,1.2,LS220_M14691268_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_LK_SR_AHfix,1.2,LS220_M14691268_M0_LK_AHfix,,,,,,,,,yes,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_HR,1.2,LS220_M14691268_M0,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_LR,1.2,LS220_M14691268_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M14691268_M0_SR,1.2,LS220_M14691268_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M16351146_M0_LK_LR,1.4,LS220_M11461635_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M11461635_M0_LK_SR,1.4,LS220_M11461635_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_LK_SR_R05_AHfix,1.7,LS220_M10651772_M0_LK_AHfix,,,,,,,,,yes,not passed,PC,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_LK_LR_AHfix,1.7,LS220_M10651772_M0_LK_AHfix,,,,,,,,,yes,passed,PC,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_LK_SR,1.7,LS220_M10651772_M0_LK,,,,,,,,,,passed,PC,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_LK_LR,1.7,LS220_M10651772_M0_LK,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_LR_AHfix,1.7,LS220_M10651772_M0_AHfix,,,,,,,,,yes,passed,PC,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS220_M10651772_M0_SR_R05_AHfix,1.7,LS220_M10651772_M0_AHfix,,,,,,,,,yes,not passed,PC,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LK_SR_AHfix,1,SFHo_M13641364_M0_LK_AHfix,,,,,,,,,yes,passed,BH,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LK_HR,1,SFHo_M13641364_M0_LK_p2019,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LK_SR_2019pizza,1,SFHo_M13641364_M0_LK_p2019,,,,,,,,,,passed,BH,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LK_SR,1,SFHo_M13641364_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LK_LR,1,SFHo_M13641364_M0_LK,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_HR,1,SFHo_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_SR,1,SFHo_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M13641364_M0_LR,1,SFHo_M13641364_M0,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_LK_HR,1.1,SFHo_M14521283_M0_LK_p2019,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_LK_SR,1.1,SFHo_M14521283_M0_LK,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_LK_LR,1.1,SFHo_M14521283_M0_LK,,,,,,,,,,passed,NS,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_LK_SR_2019pizza,1.1,SFHo_M14521283_M0_LK_p2019,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_HR,1.1,SFHo_M14521283_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_LR,1.1,SFHo_M14521283_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M14521283_M0_SR,1.1,SFHo_M14521283_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M11461635_M0_LK_SR,1.4,SFHo_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M16351146_M0_LK_LR,1.4,SFHo_M16351146_M0_LK_p2019,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M10651772_M0_LK_LR,1.7,SFHo_M10651772_M0_LK,,,,,,,,,,passed,PC,unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M10651772_M0_LK_SR,1.7,SFHo_M10651772_M0_LK,,,,,,,,,,passed,PC,formed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M10651772_M0_LK_SR_AHfix,1.7,SFHo_M10651772_M0_LK_AHfix,,,,,,,,,yes,not passed,unclear,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFHo_M10651772_M0_LK_LR_AHfix,1.7,SFHo_M10651772_M0_LK_AHfix,,,,,,,,,yes,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M13641364_M0_LK_SR_AHfix,1,SLy4_M13641364_M0_LK_AHfix,,,,,,,,,yes,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M13641364_M0_LK_LR,1,SLy4_M13641364_M0_LK,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M13641364_M0_LK_SR,1,SLy4_M13641364_M0_LK,,,,,,,,,,passed,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M13641364_M0_SR,1,SLy4_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M13641364_M0_LR,1,SLy4_M13641364_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M14521283_M0_LR,1.1,SLy4_M14521283_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M14521283_M0_SR,1.1,SLy4_M14521283_M0,,,,,,,,,,passed,BH,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M11461635_M0_LK_SR,1.4,SLy4_M11461635_M0_LK,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M10651772_M0_LK_SR,1.7,SLy4_M10651772_M0_LK,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M10651772_M0_LK_SR_AHfix,1.7,SLy4_M10651772_M0_LK_AHfix,,,,,,,,,yes,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M10651772_M0_LK_LR_AHfix,1.7,SLy4_M10651772_M0_LK_AHfix,,,,,,,,,yes,passed,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M10201856_M0_LK_SR,1.8,SLy4_M10201856_M0_LK,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLy4_M10201856_M0_LK_LR_AHfix,1.8,SLy4_M10201856_M0_LK_AHfix,,,,,,,,,yes,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
