bibkey,arxiv,sim,EOS,nus,MA,MB,M,q,CA,CB,MbA,MbB,LamA,LamB,tLam,Mej1e-2,Vej,Yeej,disc_data,Mdisk1e-2
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM125125LK,BHBlp,leak,1.25,1.25,2.5,1.0,0.1401977630592352,0.1401977630592352,1.3646419002749315,1.3646419002749315,1314.6891934516366,1314.6891934516366,1314.6891934516366,0.13,0.18,0.13,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM1365125LK,BHBlp,leak,1.365,1.25,2.615,1.092,0.15265498856811877,0.1401977630592352,1.502755630948389,1.3646419002749315,807.1913499710394,1314.6891934516366,1031.1262530492254,0.06,0.21,0.14,1,18.73
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM130130LK,BHBlp,leak,1.3,1.3,2.6,1.0,0.14560319571258437,0.14560319571258437,1.4243925768161971,1.4243925768161971,1061.0594874950375,1061.0594874950375,1061.0594874950375,0.07,0.12,0.16,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM135135LKHR,BHBlp,leak,1.35,1.35,2.7,1.0,0.1509950794134683,0.1509950794134683,1.484569337011859,1.484569337011859,857.167144867847,857.167144867847,857.1671448678471,0.05,0.18,0.16,1,14.26
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140120LK,BHBlp,leak,1.4,1.2,2.6,1.16666666666667,0.15647018704514767,0.13478088657043497,1.5452811276056244,1.3053206759563623,698.099274860869,1633.8467444142725,1070.6424277399506,0.11,0.16,0.11,1,20.74
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140140LKHR,BHBlp,leak,1.4,1.4,2.8,1.0,0.15647018704514767,0.15647018704514767,1.5452811276056244,1.5452811276056244,698.099274860869,698.099274860869,698.099274860869,0.1,0.2,0.14,1,5.38
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM144139LK,BHBlp,leak,1.44,1.39,2.83,1.03597122302158,0.16087232236562188,0.1553966532749366,1.5941601831300523,1.5331050812395033,591.2749067047229,727.1238410017457,655.9529299109287,0.06,0.2,0.18,1,8.28
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM150150LK,BHBlp,leak,1.5,1.5,3.0,1.0,0.16755870927396663,0.16755870927396663,1.6681647067100245,1.6681647067100245,464.43985479332116,464.43985479332116,464.43985479332116,0.05,0.23,0.17,1,1.93
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM160160LK,BHBlp,leak,1.6,1.6,3.2,1.0,0.17893475841874087,0.17893475841874087,1.793059007320644,1.793059007320644,306.5562143275465,306.5562143275465,306.5562143275465,0.0,0.0,0.0,1,0.09
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M120120LK,DD2,leak,1.2,1.2,2.4,1.0,0.1347788080478281,0.1347788080478281,1.3053174013104192,1.3053174013104192,1630.6572700919944,1630.6572700919944,1630.6572700919944,0.08,0.14,0.15,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M125125LK,DD2,leak,1.25,1.25,2.5,1.0,0.14011705418719214,0.14011705418719214,1.3646209807881773,1.3646209807881773,1312.376156650246,1312.376156650246,1312.376156650246,0.04,0.15,0.18,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M1365125LK,DD2,leak,1.365,1.25,2.615,1.092,0.15255802771780763,0.14011705418719214,1.5027348615502472,1.3646209807881773,809.3134213454979,1312.376156650246,1031.3376526091172,0.04,0.2,0.15,1,20.83
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M130130LK,DD2,leak,1.3,1.3,2.6,1.0,0.145533673757573,0.145533673757573,1.4243801138341001,1.4243801138341001,1061.2632855965016,1061.2632855965016,1061.2632855965016,0.12,0.18,0.13,0,
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M135135LKHR,DD2,leak,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.02,0.19,0.18,1,15.05
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140120LK,DD2,leak,1.4,1.2,2.6,1.16666666666667,0.15640276242177129,0.1347788080478281,1.5452731098994879,1.3053174013104192,701.8308388796706,1630.6572700919944,1071.7554746297587,0.09,0.18,0.12,1,19.26
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140140LKHR,DD2,leak,1.4,1.4,2.8,1.0,0.15640276242177129,0.15640276242177129,1.5452731098994879,1.5452731098994879,701.8308388796706,701.8308388796706,701.8308388796708,0.09,0.18,0.14,1,16.85
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M144139LK,DD2,leak,1.44,1.39,2.83,1.03597122302158,0.16076988698372663,0.1552957076142613,1.5941582649576795,1.5330931364498386,597.0629287657946,730.6620782121189,660.682539634088,0.05,0.2,0.17,1,14.4
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M150150LK,DD2,leak,1.5,1.5,3.0,1.0,0.1672953533929246,0.1672953533929246,1.6681899227495909,1.6681899227495909,474.82854949515297,474.82854949515297,474.82854949515297,0.07,0.17,0.2,1,16.7
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M160160LK,DD2,leak,1.6,1.6,3.2,1.0,0.17831142729850144,0.17831142729850144,1.7929109761846904,1.7929109761846904,318.24884425273376,318.24884425273376,318.24884425273376,0.12,0.24,0.14,1,1.96
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M120120LK,LS220,leak,1.2,1.2,2.4,1.0,0.13859290855590764,0.13859290855590764,1.3203316559529197,1.3203316559529197,1441.4009860796743,1441.4009860796743,1441.4009860796743,0.14,0.15,0.12,1,17.43
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M1365125LK,LS220,leak,1.365,1.25,2.615,1.092,0.1586690631853786,0.14463868390457146,1.520852542454308,1.3805114961168208,635.7865201879894,1120.976586941357,849.1917481652059,0.11,0.16,0.1,1,16.86
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135LK,LS220,leak,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.06,0.16,0.11,1,7.25
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120LK,LS220,leak,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.19,0.15,0.09,1,22.82
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140140LKHR,LS220,leak,1.4,1.4,2.8,1.0,0.16296822613994993,0.16296822613994993,1.5641709173649654,1.5641709173649654,540.1813905611783,540.1813905611783,540.1813905611783,0.07,0.17,0.15,1,2.68
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M144139LK,LS220,leak,1.44,1.39,2.83,1.03597122302158,0.16804139093902576,0.1617004059201219,1.61392840774384,1.5517355780099393,441.7729260815261,564.9848693582908,500.35731777658674,0.19,0.16,0.14,1,3.91
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M145145LK,LS220,leak,1.45,1.45,2.9,1.0,0.16931878392188032,0.16931878392188032,1.6264457235153855,1.6264457235153855,421.0621846258658,421.0621846258658,421.0621846258659,0.16,0.21,0.14,1,2.05
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M145145LK,LS220,leak,1.5,1.5,3.0,1.0,0.17576910649521924,0.17576910649521924,1.689386358391032,1.689386358391032,330.80390283547644,330.80390283547644,330.8039028354765,0.03,0.19,0.08,1,0.16
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M160160LK,LS220,leak,1.6,1.6,3.2,1.0,0.18915658474032912,0.18915658474032912,1.8171867268647148,1.8171867268647148,202.43211748236797,202.43211748236797,202.432117482368,0.03,0.21,0.07,1,0.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M171171LK,LS220,leak,1.71,1.71,3.42,1.0,0.20501689527829067,0.20501689527829067,1.9611985127934581,1.9611985127934581,116.17930791347932,116.17930791347932,116.17930791347933,0.03,0.22,0.08,1,0.06
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM1365125LK,SFHo,leak,1.365,1.25,2.615,1.092,0.16933007926917687,0.15450050590439673,1.5160878374981874,1.3748469724170989,393.421141427812,680.8540226153643,519.9298529965168,0.15,0.23,0.14,1,8.81
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM135135LKHR,SFHo,leak,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,0.23,0.21,0.17,1,1.78
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140120LK,SFHo,leak,1.4,1.2,2.6,1.16666666666667,0.17386100344827585,0.1481355184135977,1.559699584778325,1.314401087566887,334.01689129556667,872.0148034875673,547.1699306198905,0.12,0.2,0.14,1,11.73
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140140LK,SFHo,leak,1.4,1.4,2.8,1.0,0.17386100344827585,0.17386100344827585,1.559699584778325,1.559699584778325,334.01689129556667,334.01689129556667,334.0168912955667,0.04,0.35,0.19,1,0.01
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM144139LK,SFHo,leak,1.44,1.39,2.83,1.03597122302158,0.17922165325680317,0.17251617586206894,1.6099401208425153,1.547207466551724,277.1107212115001,350.0830489310347,311.8199795398555,0.04,0.33,0.18,1,0.09
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM146146LK,SFHo,leak,1.46,1.46,2.92,1.0,0.18180536775476042,0.18180536775476042,1.6351882077840552,1.6351882077840552,252.44268547290227,252.44268547290227,252.4426854729023,0.0,0.0,0.0,1,0.02
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM135135M0,BHBlp,leakM0,1.35,1.35,2.7,1.0,0.1509950794134683,0.1509950794134683,1.484569337011859,1.484569337011859,857.167144867847,857.167144867847,857.1671448678471,0.14,0.14,0.26,1,12.75
Radice:2018pdn,https://arxiv.org/abs/1809.11161,BHBlpM140120M0,BHBlp,leakM0,1.4,1.2,2.6,1.16666666666667,0.15647018704514767,0.13478088657043497,1.5452811276056244,1.3053206759563623,698.099274860869,1633.8467444142725,1070.6424277399506,0.16,0.17,0.19,1,22.56
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M135135M0,DD2,leakM0,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.14,0.17,0.23,1,16.16
Radice:2018pdn,https://arxiv.org/abs/1809.11161,DD2M140120M0,DD2,leakM0,1.4,1.2,2.6,1.16666666666667,0.15640276242177129,0.1347788080478281,1.5452731098994879,1.3053174013104192,701.8308388796706,1630.6572700919944,1071.7554746297587,0.16,0.16,0.21,1,19.48
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.19,0.15,0.25,1,9.06
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L05,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.27,0.13,0.27,1,14.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L25,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.2,0.14,0.26,1,4.65
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0L50,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.2,0.16,0.26,1,8.59
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M135135M0LTE,LS220,leakM0,1.35,1.35,2.7,1.0,0.15681020727775222,0.15681020727775222,1.502383755668151,1.502383755668151,684.5118403705407,684.5118403705407,684.5118403705407,0.11,0.13,0.2,1,14.24
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.24,0.15,0.18,1,23.38
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L05,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.28,0.15,0.18,1,20.33
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L25,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.41,0.2,0.16,1,12.07
Radice:2018pdn,https://arxiv.org/abs/1809.11161,LS220M140120M0L50,LS220,leakM0,1.4,1.2,2.6,1.16666666666667,0.16296822613994993,0.13859290855590764,1.5641709173649654,1.3203316559529197,540.1813905611783,1441.4009860796743,896.9439710469974,0.7,0.22,0.18,1,13.97
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM135135M0,SFHo,leakM0,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,0.42,0.22,0.22,1,1.23
Radice:2018pdn,https://arxiv.org/abs/1809.11161,SFHoM140120M0,SFHo,leakM0,1.4,1.2,2.6,1.16666666666667,0.17386100344827585,0.1481355184135977,1.559699584778325,1.314401087566887,334.01689129556667,872.0148034875673,547.1699306198905,0.3,0.16,0.22,1,15.65
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D144144,DD2,M1,1.44,1.44,2.88,1.0,0.16076988698372663,0.16076988698372663,1.5941582649576795,1.5941582649576795,597.0629287657946,597.0629287657946,597.0629287657946,0.36,0.267,0.21600000000000003,1,10.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D12132,DD2,M1,1.32,1.2,2.52,1.0989010989011,0.14769738714526487,0.1347788080478281,1.4484087204026783,1.3053174013104192,976.120890479661,1630.6572700919944,1262.3440051563946,0.46,0.273,0.21,1,12.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D12144,DD2,M1,1.44,1.2,2.64,1.20481927710843,0.16076988698372663,0.1347788080478281,1.5941582649576795,1.3053174013104192,597.0629287657946,1630.6572700919944,987.8399283802146,0.335,0.204,0.16399999999999998,1,17.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,D12156,DD2,M1,1.56,1.2,2.76,1.2987012987013,0.17387722281967213,0.1347788080478281,1.7427212118557376,1.3053174013104192,371.6774842334426,1630.6572700919944,788.2283146342046,0.473,0.165,0.182,1,22.5
Vincent:2019kor,https://arxiv.org/abs/1908.00655,L144144,LS220,M1,1.44,1.44,2.88,1.0,0.16804139093902576,0.16804139093902576,1.61392840774384,1.61392840774384,441.7729260815261,441.7729260815261,441.7729260815261,0.012,0.258,0.217,1,3.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,L12132,LS220,M1,1.32,1.2,2.52,1.0989010989011,0.15307956504625073,0.13859290855590764,1.4655779010037395,1.3203316559529197,792.6651385160401,1441.4009860796743,1075.3386862968487,0.094,0.22399999999999998,0.205,1,12.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,L12144,LS220,M1,1.44,1.2,2.64,1.20481927710843,0.16804139093902576,0.13859290855590764,1.61392840774384,1.3203316559529197,441.7729260815261,1441.4009860796743,816.6701396911653,0.384,0.196,0.19399999999999998,1,15.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,L12156,LS220,M1,1.56,1.2,2.76,1.2987012987013,0.18378822623473182,0.13859290855590764,1.7657810164630907,1.3203316559529197,246.56467169410513,1441.4009860796743,637.2760231941247,0.23399999999999999,0.135,0.192,1,18.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,S144144,SFHo,M1,1.44,1.44,2.88,1.0,0.17922165325680317,0.17922165325680317,1.6099401208425153,1.6099401208425153,277.1107212115001,277.1107212115001,277.1107212115001,0.0,0.0,0.0,1,8.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,S12132,SFHo,M1,1.32,1.2,2.52,1.0989010989011,0.16351682159538422,0.1481355184135977,1.4604535384192694,1.314401087566887,486.49121284458244,872.0148034875673,654.5647833385183,1.574,0.23,0.22399999999999998,1,12.5
Vincent:2019kor,https://arxiv.org/abs/1908.00655,S12144,SFHo,M1,1.44,1.2,2.64,1.20481927710843,0.17922165325680317,0.1481355184135977,1.6099401208425153,1.314401087566887,277.1107212115001,872.0148034875673,500.53956924881237,0.8390000000000001,0.22,0.20600000000000002,1,15.0
Vincent:2019kor,https://arxiv.org/abs/1908.00655,S12156,SFHo,M1,1.56,1.2,2.76,1.2987012987013,0.19535058436902486,0.1481355184135977,1.763158337954111,1.314401087566887,158.5359801864244,872.0148034875673,392.3349787457832,1.8019999999999998,0.18100000000000002,0.204,1,17.5
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,NL3,leak,1.47,1.36,2.83,1.08088235294118,0.136,0.136,1.6129808079920274,1.4817577670006397,1047.9071995360314,1619.473919370972,1303.9377910014641,0.0015,0.45,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,NL3,leak,1.34,1.25,2.59,1.072,0.125,0.147,1.4581380697079516,1.3524325045470533,1762.8479744354984,2555.7301150580306,2122.6714334675708,0.23,0.25,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,DD2,leak,1.49,1.36,2.85,1.09558823529412,0.152,0.152,1.65581185400982,1.4966870866355597,493.4729659624827,826.7562330547623,639.7439665721284,0.043,0.3,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,DD2,leak,1.36,1.29,2.65,1.05426356589147,0.14400000000000002,0.16399999999999998,1.4966870866355597,1.412365810549811,826.7562330547623,1103.834483154922,955.5169837704226,0.042,0.3,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,DD2,leak,1.27,1.18,2.45,1.07627118644068,0.132,0.172,1.3884888715181372,1.281758557673456,1207.551257411554,1792.2247332534585,1471.3218175153863,0.13,0.3,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,SFHo,leak,1.5,1.36,2.86,1.10294117647059,0.16899999999999998,0.16899999999999998,1.6860505081738548,1.5098842274733097,209.49864775986165,402.90991853855274,293.2015008061265,0.34,0.25,,0,
Lehner:2016lxy,https://arxiv.org/abs/1603.00501,nan,SFHo,leak,1.37,1.25,2.62,1.0959999999999999,0.154,0.183,1.5223046676978105,1.3748469724170989,384.55009884479665,680.8540226153643,514.2338015297921,0.22,0.25,,0,
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-135-135h(high),SFHo,leakM1,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,1.1,0.22,0.31,1,5.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-135-135l(low),SFHo,leakM1,1.35,1.35,2.7,1.0,0.16735068327402136,0.16735068327402136,1.497491344911032,1.497491344911032,422.55741557295374,422.55741557295374,422.5574155729538,1.3,0.21,0.32,1,3.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-133-137h(high),SFHo,leakM1,1.37,1.33,2.7,1.03092783505155,0.16995601575716565,0.16477906049026006,1.5223046676978105,1.4727813598191817,384.55009884479665,464.4953220384004,422.86048071145007,0.9,0.21,0.3,1,6.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-130-140h(high),SFHo,leakM1,1.4,1.3,2.7,1.0752688172043001,0.17386100344827585,0.16088837576701162,1.559699584778325,1.43587070116311,334.01689129556667,535.1008840598957,424.5565318126045,0.6,0.2,0.27,1,9.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-130-140l(low),SFHo,leakM1,1.4,1.3,2.7,1.0752688172043001,0.17386100344827585,0.16088837576701162,1.559699584778325,1.43587070116311,334.01689129556667,535.1008840598957,424.5565318126045,0.6,0.21,0.27,1,8.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-125-145h(high),SFHo,leakM1,1.45,1.25,2.7,1.1627906976744198,0.18052371887424148,0.15450050590439673,1.622557950408035,1.3748469724170989,264.5651483312409,680.8540226153643,430.363011303649,1.1,0.24,0.18,1,12.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,SFHo-125-145l(low),SFHo,leakM1,1.45,1.25,2.7,1.1627906976744198,0.18052371887424148,0.15450050590439673,1.622557950408035,1.3748469724170989,264.5651483312409,680.8540226153643,430.363011303649,1.2,0.23,0.19,1,11.0
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,DD2-135-135h(high),DD2,leakM1,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.2,0.16,0.3,0,
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,DD2-135-135l(low),DD2,leakM1,1.35,1.35,2.7,1.0,0.15093883418065324,0.15093883418065324,1.4845915368061842,1.4845915368061842,861.6418564732919,861.6418564732919,861.6418564732919,0.2,0.15,0.3,0,
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,DD2-130-140h(high),DD2,leakM1,1.4,1.3,2.7,1.0752688172043001,0.15640276242177129,0.145533673757573,1.5452731098994879,1.4243801138341001,701.8308388796706,1061.2632855965016,864.0281834234755,0.3,0.18,0.26,0,
Sekiguchi:2016bjd,https://arxiv.org/abs/1603.01918,DD2-125-145h(high),DD2,leakM1,1.45,1.25,2.7,1.1627906976744198,0.1618491196371838,0.14011705418719214,1.6064134974171174,1.3646209807881773,573.0393069095144,1312.376156650246,869.0201648487473,0.5,0.19,0.2,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,ALF2,none,1.35,1.35,2.7,1.0,0.1613959085133418,0.1613959085133418,1.4877406950444727,1.4877406950444727,734.2312200762387,734.2312200762387,734.2312200762387,0.38,0.28,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,ALF2,none,1.35,1.35,2.7,1.0,0.1613959085133418,0.1613959085133418,1.4877406950444727,1.4877406950444727,734.2312200762387,734.2312200762387,734.2312200762387,0.449,0.27,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,APR,none,1.35,1.35,2.7,1.0,0.17995554983922832,0.17995554983922832,1.5020123800643088,1.5020123800643088,322.4732288745978,322.4732288745978,322.4732288745978,0.596,0.31,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,APR,none,1.35,1.35,2.7,1.0,0.17995554983922832,0.17995554983922832,1.5020123800643088,1.5020123800643088,322.4732288745978,322.4732288745978,322.4732288745978,0.738,0.3,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,1.8,1.2,3.0,1.5,0.20078535978664944,0.1347788080478281,2.049267478988201,1.3053174013104192,148.61120811217066,1630.6572700919944,518.4796878207011,1.7080000000000002,0.17,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,2.0,1.35,3.35,1.48148148148148,0.22447667925546264,0.15093883418065324,2.315586068159338,1.4845915368061842,68.3299359643917,861.6418564732919,269.68108689705315,0.6409999999999999,0.31,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,1.8,1.35,3.15,1.33333333333333,0.20078535978664944,0.15093883418065324,2.049267478988201,1.4845915368061842,148.61120811217066,861.6418564732919,372.0956034004005,1.485,0.21,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,1.6,1.2,2.8,1.33333333333333,0.17831142729850144,0.1347788080478281,1.7929109761846904,1.3053174013104192,318.24884425273376,1630.6572700919944,731.9377620422291,1.09,0.2,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,1.5,1.2,2.7,1.25,0.1672953533929246,0.1347788080478281,1.6681899227495909,1.3053174013104192,474.82854949515297,1630.6572700919944,884.6969995498217,0.879,0.2,,0,
Bauswein:2013yna,https://arxiv.org/abs/1302.6530,nan,DD2,none,1.8,1.5,3.3,1.2,0.20078535978664944,0.1672953533929246,2.049267478988201,1.6681899227495909,148.61120811217066,474.82854949515297,271.7742616001663,1.8840000000000001,0.25,,0,
